"peak_rank","points","year","preview_url","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id"
44,344,1958,NULL,"Billy Vaughn And His Orchestra","Cimarron (Roll On)","True",NULL,NULL,NULL,NULL,NULL,NULL
26,477,1958,NULL,"Billy Vaughn And His Orchestra","La Paloma","True",NULL,NULL,NULL,NULL,NULL,NULL
99,2,1958,NULL,"Billy Williams","I'll Get By (As Long As I Have You)","False",NULL,NULL,NULL,NULL,NULL,NULL
12,824,1958,"6549ad38d8177c659c0d5e3803da23852d9e71ac","Bing Crosby","White Christmas","True",NULL,NULL,NULL,NULL,NULL,NULL
96,10,1958,NULL,"Bob Kayli","Everyone Was There","False",NULL,NULL,NULL,NULL,NULL,NULL
9,1284,1958,"80405ece8ea1b0d6fc93f2a8a19fd52f44b25903","Bobby Darin","Queen Of The Hop","True",0,"male",5,"Pop",0,15149
3,582,1958,"3e71bdb292d7112e3a5f4320f39ab79f35f50e58","Bobby Darin","Splish Splash","True",0,"male",6,"Pop",0,15151
41,452,1958,"18a40157a907c153787be782b371edad37122a50","Bobby Day","Over And Over","True",0,"male",6,"Pop",0,15708267
2,1657,1958,"cbceeb2ed47411744deedfb0e324024edc71928c","Bobby Day","Rock-in Robin","True",0,"male",8,"Pop",2,15708273
54,170,1958,"daa27c44c1cb950dc88fc9e93ec8c665bce35dde","Bobby Day","The Bluebird, The Buzzard & The Oriole","True",0,"male",6,"Pop",4,15708269
37,400,1958,"48726fdbcef97d33a77705f91e08d154b1519726","Bobby Freeman","Betty Lou Got A New Pair Of Shoes","True",2,"male",7,"R&B",2,1946547
20,293,1958,"3acbc911fbaee37b836f69dd899eb1e13a4c7ed1","Bobby Freeman","Do You Want To Dance","True",0,"male",7,"R&B",0,1946546
54,170,1958,"ef27c20c956712c6fcaa5cc932db1ef440a041a0","Bobby Freeman","Need Your Love","True",2,"male",7,"R&B",0,1946550
40,139,1958,NULL,"Bobby Hamilton","Crazy Eyes For You","False",NULL,NULL,NULL,NULL,NULL,NULL
60,58,1958,NULL,"Bobby Helms","Borrowed Dreams","True",0,"male",7,"Country",0,643179
8,1348,1958,"42339179310f6a680199271f08d36de4e1419822","Bobby Helms","Jingle Bell Rock","True",NULL,NULL,NULL,NULL,NULL,NULL
75,104,1958,NULL,"Bobby Helms","The Fool And The Angel","True",0,"male",7,"Country",0,11453234
25,736,1958,"5fe08008ed262a838d4a5b65d7b6003b41fbea67","Bobby Hendricks","Itchy Twitchy Feeling","True",NULL,NULL,NULL,NULL,NULL,NULL
74,60,1958,"ff5034872f56b2979a0d068ed778820def5dad43","Bobby Pedrick, Jr.","White Bucks And Saddle Shoes","True",0,"male",8,"Pop",0,1799039
62,230,1958,"c581f6ca44143d29919971f4f70a09c50f96ee9c","Boots Brown And His Blockbusters","Cerveza","True",NULL,NULL,NULL,NULL,NULL,NULL
32,422,1958,"ccdbc28cc6f831b94283c950da0f9b1b834d2dc7","Buddy Holly","Early In The Morning","True",NULL,NULL,NULL,NULL,NULL,NULL
82,40,1958,"be3d2638af7d4cdcc932dbeec61aa5c0ba5a8046","Buddy Holly","Heartbeat","True",0,"male",6,"Rock",0,28147
22,846,1958,NULL,"Buddy Knox with the Rhythm Orchids","Somebody Touched Me","False",NULL,NULL,NULL,NULL,NULL,NULL
93,8,1958,"5099e8b59aa302c8bf9dfe7e272dfa8ae9159b2a","Carl Smith","Guess I've Been Around Too Long","True",NULL,NULL,NULL,NULL,NULL,NULL
81,20,1958,NULL,"Chuck Berry","Beautiful Delilah","True",0,"male",8,"Pop",3,251810
18,610,1958,"de456df0bf68c5b5fc599e7e503c684fbfcf9dfe","Chuck Berry","Carol","True",0,"male",7,"Pop",0,9729
83,50,1958,NULL,"Chuck Berry","Joe Joe Gunne","False",NULL,NULL,NULL,NULL,NULL,NULL
80,21,1958,"1a13fce45a9369a94e8de4e6b73b4c4541a254dd","Chuck Berry","Johnny B. Goode","True",0,"male",6,"Pop",0,9730
71,63,1958,"30fbbb47eef510d1560fe1976929b2bc0630f973","Chuck Berry","Merry Christmas Baby","True",NULL,NULL,NULL,NULL,NULL,NULL
45,134,1958,NULL,"Chuck Berry","Run Rudolph Run","True",NULL,NULL,NULL,NULL,NULL,NULL
47,354,1958,NULL,"Chuck Berry","Sweet Little Rock And Roller","True",0,"male",7,"Pop",3,251815
56,144,1958,"8221073d182c08be98502f9502619c2d9eda3778","Chuck Willis","My Life","True",NULL,NULL,NULL,NULL,NULL,NULL
25,341,1958,"57e0ba3044bf65702ceb550c2f1cbb727b1338f9","Chuck Willis","What Am I Living For","True",0,"male",6,"R&B",0,1993900
6,1779,1958,"c9bc0f8e1f84936478039acf2a3adcdb5e68ea1b","Clyde McPhatter","A Lover's Question","True",0,"male",7,"Pop",0,485222
43,158,1958,"0f52156d5db43d21668d3e176515fa0e6da4ef7c","Clyde McPhatter","Come What May","True",NULL,NULL,NULL,NULL,NULL,NULL
30,403,1958,NULL,"Connie Francis","Fallin'","True",4,"male",7,"Rock",0,274580
2,1347,1958,"bfd4437aac0d6402339160724fa13320c5a3ae7a","Connie Francis","My Happiness","True",0,"female",6,"Pop",0,15039236
17,845,1958,"ff69ecf78b92b8a7dcf067c68df20622abc104b1","Connie Francis","Stupid Cupid","True",3,"female",7,"Pop",0,15039254
1,1663,1958,"78596b3b94dd959ad120ebf092435005afdd73f9","Conway Twitty","It's Only Make Believe","True",0,"male",4,"Pop",0,1076401
100,1,1958,NULL,"Count Basie & His Orch.","Going To Chicago Blues","True",2,"male",7,"Jazz",0,8867804
27,558,1958,NULL,"Cozy Cole","Topsy I","True",NULL,NULL,NULL,NULL,NULL,NULL
3,1529,1958,"205e1c432eaa7e2ebfd785562930cdfe2264b31c","Cozy Cole","Topsy II","True",NULL,NULL,NULL,NULL,NULL,NULL
36,384,1958,NULL,"Cozy Cole","Turvy II","True",NULL,NULL,NULL,NULL,NULL,NULL
83,28,1958,NULL,"Cyclones","Bullwhip Rock","False",NULL,NULL,NULL,NULL,NULL,NULL
88,38,1958,"f4a9511eee78ece84e185658e9a52785958b321a","Dale Hawkins","A House, A Car And A Wedding Ring","True",0,"male",6,"Pop",0,2590756
32,486,1958,"b6948f19f091ea2cbddb9c8ab57dbb116073b2c5","Dale Hawkins","La-Do-Dada","True",0,"male",6,"Rock",0,6038714
77,95,1958,NULL,"Dale Wright And The Wright Guys With the Dons","Please Don't Do It","True",0,"male",6,"Pop",0,10661666
78,27,1958,NULL,"David Seville","Little Brass Band","False",NULL,NULL,NULL,NULL,NULL,NULL
79,22,1958,NULL,"David Seville","The Bird On My Head","False",NULL,NULL,NULL,NULL,NULL,NULL
30,250,1958,"9c32d0cb4b64c432a03422c6af6b3f402184406b","Dean Martin","Angel Baby","True",NULL,NULL,NULL,NULL,NULL,NULL
48,105,1958,"8c596bd16f0d39c78fad05ff4bcf3579a2ac884a","Dean Martin","Return To Me","True",0,"male",5,"Pop",0,37205
15,764,1958,NULL,"Dean Martin","Volare (Nel Blu Dipinto Di Blu)","True",NULL,NULL,NULL,NULL,NULL,NULL
21,897,1958,"a92997fff13bc72841c982adc2645c2674003209","Dee Clark","Nobody But You","True",3,"male",7,"Rock",0,6016037
73,53,1958,NULL,"DeJohn Sisters","Straighten Up & Fly Right","True",NULL,NULL,NULL,NULL,NULL,NULL
44,308,1958,"e9e5496dabe49ec52939d5142dc1dd6394e53603","Dicky Doo And The Don'ts","Leave Me Alone (Let Me Cry)","True",NULL,NULL,NULL,NULL,NULL,NULL
40,570,1958,NULL,"Dion & The Belmonts","Don't Pity Me","True",4,"male",7,"Rock",0,12097824
47,95,1958,NULL,"Dion & The Belmonts","I Wonder Why","True",0,"male",7,"Rock",0,12097792
24,842,1958,NULL,"Dion & The Belmonts","No One Knows","True",0,"male",7,"Rock",0,12097810
1,1352,1958,"a0e2ef35a1613d868ca54ec824696df2300b1451","Domenico Modugno","Nel Blu Dipinto Di Blu (Volaré)","True",0,"male",5,"Pop",0,6546083
32,410,1958,"32eb74d495bd0dad5e951eb9332e696f1069814a","Don Gibson","Blue Blue Day","True",0,"male",5,"Country",0,6234855
46,320,1958,"17d13526c9ba465fa83518e4a30a68e99ac26ca2","Don Gibson","Give Myself A Party","True",0,"male",5,"Country",3,11648023
58,350,1958,"b662f685a4cae8a8c45e9b307df1bc8e225fab99","Don Gibson","Look Who's Blue","True",0,"male",6,"Country",0,11648025
25,807,1958,"3c05b8bcb11eaec0ee0e45cd41358c7b7845ac58","Donnie Owens","Need You","True",0,"male",4,"Pop",0,7872599
14,863,1958,"198ecbc1d9a86666f7d31341f276bec13e360045","Doris Day","Everybody Loves A Lover","True",0,"male",6,"Pop",0,9700041
43,303,1958,"4f03d30bd72de70a075a69997a23fafce0ccfc38","Doris Day","Tunnel Of Love","True",NULL,NULL,NULL,NULL,NULL,NULL
73,80,1958,NULL,"Doug Franklin With The Bluenotes","My Lucky Love","False",NULL,NULL,NULL,NULL,NULL,NULL
15,781,1958,NULL,"Duane Eddy His Twangy Guitar And The Rebels","Cannonball","True",0,"#N/A",0,"Pop",0,633604
28,397,1958,NULL,"Duane Eddy His Twangy Guitar And The Rebels","Ramrod","True",0,"#N/A",0,"Pop",0,633608
6,650,1958,NULL,"Duane Eddy His Twangy Guitar And The Rebels","Rebel-'rouser","True",0,"#N/A",0,"Pop",0,633602
7,1363,1958,"b0e13f419ba5f00c873252e542dcb0434f77c5fb","Earl Grant","The End","True",0,"male",5,"Pop",2,1596218
62,39,1958,"99f4255fc47206be1b3eea19b557e267927cdbfc","Ed Townsend","For Your Love","True",NULL,NULL,NULL,NULL,NULL,NULL
59,187,1958,NULL,"Ed Townsend","When I Grow Too Old To Dream","False",NULL,NULL,NULL,NULL,NULL,NULL
35,504,1958,"60192b384839355ca78112e0b47ffbaa49a254b2","Eddie Cochran","C'mon Everybody","True",0,"male",7,"Pop",0,8994819
8,1138,1958,"0305b00b32fe63547db3988e2d90e540336a3936","Eddie Cochran","Summertime Blues","True",0,"male",6,"Pop",0,9846110
64,73,1958,NULL,"Eddie Fontaine","Nothin' Shakin'","True",0,"male",5,"Pop",2,8800680
26,661,1958,"1ffeeae4113b8b04834e1b20ff081fc37d737b69","Eileen Rodgers","Treasure Of Your Love","False",NULL,NULL,NULL,NULL,NULL,NULL
34,238,1958,NULL,"Elvis Presley With The Jordanaires","Don't Ask Me Why","False",NULL,NULL,NULL,NULL,NULL,NULL
4,509,1958,NULL,"Elvis Presley With The Jordanaires","Hard Headed Woman","False",NULL,NULL,NULL,NULL,NULL,NULL
8,1165,1958,"c3a3c994bfaf83abfdafc198c5a92104359b13a6","Elvis Presley","I Got Stung","True",0,"male",5,"Pop",3,6938458
4,1304,1958,"92ee142473361aa8b3fe6d89aeff6c593d52eed9","Elvis Presley","One Night","True",0,"male",7,"Pop",0,12281092
48,259,1958,"3758dc78d305ad00e6e333eb8f02cc03c59d9f94","Enoch Light & The Light Brigade","I Want To Be Happy Cha Cha","True",0,"#N/A",0,"Pop",0,681940
36,631,1958,"662ab7fc32c70760bf868eae1e89cb908cb4bccd","Eugene Church and The Fellows","Pretty Girls Everywhere","True",NULL,NULL,NULL,NULL,NULL,NULL
63,158,1958,NULL,"Eydie Gorme","Gotta Have Rain","True",NULL,NULL,NULL,NULL,NULL,NULL
88,13,1958,NULL,"Eydie Gorme","The Voice In My Heart","True",NULL,NULL,NULL,NULL,NULL,NULL
57,81,1958,"2ea11e110981c3f9a28f85b459dc242ea3603ce6","Eydie Gorme","You Need Hands","True",NULL,NULL,NULL,NULL,NULL,NULL
51,154,1958,"4e256ef812a88c31d4f5e432cc16f9539508bcc9","Faron Young","Alone With You","True",0,"male",5,"Country",2,509397
92,9,1958,NULL,"Fats Domino","Coquette","True",0,"male",5,"Rock",0,16929095
72,35,1958,NULL,"Fats Domino","Little Mary","True",0,"male",6,"Rock",0,8012050
6,1141,1958,"0da76f4a7cb751582d4e34bbe9f216c325e6f63f","Fats Domino","Whole Lotta Loving","True",0,"male",7,"Rock",0,484946
92,9,1958,NULL,"Fats Domino","Young School Girl","True",0,"male",5,"Rock",0,16929061
71,30,1958,NULL,"Frank Gallup","Got A Match?","False",NULL,NULL,NULL,NULL,NULL,NULL
41,436,1958,"27fdf8a61101bcbfd94133b3f8a2d264210ed0a6","Frank Sinatra","Mr. Success","True",NULL,NULL,NULL,NULL,NULL,NULL
9,770,1958,"53c7bf46fe753b807c4f070024ab373b409a4f6d","Frankie Avalon","Ginger Bread","True",3,"male",6,"Pop",2,9765460
15,1021,1958,"37244af8da785615a6e5ab244941232f038abc50","Frankie Avalon","I'll Wait For You","True",0,"male",5,"Pop",0,9765467
79,41,1958,"b4ce4cc18cf10bad763047a9e63a94395fdbbba4","Frankie Avalon","What Little Girl","True",NULL,NULL,NULL,NULL,NULL,NULL
100,1,1958,"81df536721d5e9fdb65c0830adc1b27e672b9f34","Frankie Vaughan","Judy","True",NULL,NULL,NULL,NULL,NULL,NULL
65,97,1958,"db0f114cac1471427e4a33842ed127a94f360af0","George Hamilton IV","When Will I Know","False",NULL,NULL,NULL,NULL,NULL,NULL
72,55,1958,"f69d8ae8a3ed2b236de8ffbe4099b75de44d23d8","George Hamilton IV","Your Cheatin' Heart","False",0,"male",3,"Country",0,6067927
32,233,1958,"57bdebdff4f7cb1669c09c09274519b61e5c6280","Georgia Gibbs","The Hula Hoop Song","False",NULL,NULL,NULL,NULL,NULL,NULL
58,281,1958,NULL,"Georgie Young","Nine More Miles (The ""Faster-Faster"" Song)","True",0,"male",4,"R&B",2,272589
36,138,1958,NULL,"Gerry Granahan","No Chemise, Please","True",0,"male",6,"Pop",2,70695
46,55,1958,"1ac6b60ea7624a50a4e1db883f11e26879464b6b","Gino & Gina","(It's Been A Long Time) Pretty Baby","True",NULL,NULL,NULL,NULL,NULL,NULL
80,57,1958,NULL,"Gogi Grant","Strange Are The Ways Of Love","True",NULL,NULL,NULL,NULL,NULL,NULL
18,670,1958,NULL,"Gordon MacRae","The Secret","False",NULL,NULL,NULL,NULL,NULL,NULL
22,770,1958,"0383fb332f94aff52bbe4a463b953d1150f499a6","Harvey & The Moonglows","Ten Commandments Of Love","True",0,"male",4,"Pop",0,298640
56,177,1958,NULL,"Huey ""piano"" Smith With His Clowns","Don't You Know Yockomo","True",0,"male",7,"R&B",2,1017105
68,85,1958,"e7856b6ed140260edb3eabbdc9ed723fb7da0f9d","Ivan","Real Wild Child","True",2,"male",7,"Pop",0,10708511
94,7,1958,NULL,"Ivory Joe Hunter","Yes I Want You","False",NULL,NULL,NULL,NULL,NULL,NULL
96,5,1958,"990218bb4b77d80376ceb8d9e5c44937e74dd126","Jack Scott","Geraldine","True",NULL,NULL,NULL,NULL,NULL,NULL
8,1138,1958,"55e25e6c9d226407b0d83091a7ce90044b8a4863","Jack Scott","Goodbye Baby","True",0,"duet",6,"Country",2,1795613
56,123,1958,"9d568c91afbb7e9f1d78d29601dd61feac275427","Jack Scott","Leroy","True",0,"male",5,"Pop",0,1795614
3,1060,1958,"b8692bc6d341fd2384d4f757fc826cff186bb0df","Jack Scott","My True Love","True",0,"male",4,"Pop",4,1795612
73,54,1958,"a06bbac4d0af0d18f0d0d047c3469df3f713aafe","Jack Scott","Save My Soul","True",0,"male",5,"Country",2,8122706
28,472,1958,"d3fb56ad396a42849f7ad68acc80266e52687932","Jack Scott","With Your Love","True",0,"male",3,"Country",0,1795615
7,1519,1958,"542f104f37b855b572e37995d467cc73b7cdf1b5","Jackie Wilson","Lonely Teardrops","True",2,"male",9,"Pop",0,8545306
86,15,1958,"1b97c31aedf347d02a87105f07529ece740e9f27","Jackie Wilson","To Be Loved","True",2,"male",9,"Pop",0,8545263
93,13,1958,"70134885f27409f0dbfdd5a1617de81f6822da31","Jackie Wilson","We Have Love","True",NULL,NULL,NULL,NULL,NULL,NULL
48,514,1958,NULL,"James Brown And The Famous Flames","Try Me","True",2,"male",8,"Pop",0,68016
81,36,1958,"5fb81333113b09b77f3f77e88225928e90da5d72","Jan & Arnie","Gas Money","False",0,"male",7,"Pop",0,70707
44,81,1958,"f9d07677a328fe7564dae50e2d8fea61d7bc3637","Jan & Arnie","Jennie Lee","True",0,"male",7,"Pop",0,70707
21,957,1958,"8d88dd786d558e00c63b49f74d645de7daa1bc92","Jane Morgan","The Day The Rains Came","True",NULL,NULL,NULL,NULL,NULL,NULL
82,46,1958,NULL,"Janice Harper","Devotion","False",NULL,NULL,NULL,NULL,NULL,NULL
15,340,1958,"737596e960c0b540d8a43b16d738b5c3c4bf4000","Jerry Butler and The Impressions","For Your Precious Love","True",NULL,NULL,NULL,NULL,NULL,NULL
52,137,1958,NULL,"Jerry Lee Lewis And His Pumping Piano","Break-Up","True",0,"male",8,"Pop",0,6450367
63,73,1958,"c30d92ed3848ef260a71cef5645d8554d43c3141","Jerry Lee Lewis And His Pumping Piano","High School Confidential","True",2,"male",7,"Rock",2,72220
85,16,1958,NULL,"Jerry Lee Lewis And His Pumping Piano","I'll Make It All Up To You","True",0,"male",5,"Rock",0,12149344
60,133,1958,"1d4120d2b91cdfa914933ef4d7e1f9b24a1d3ffa","Jerry Vale","Go Chase A Moonbeam","True",0,"male",5,"Jazz",0,462146
78,65,1958,"5cd597bf6a15d4e59a4dd41972c1f7caf648e1b6","Jerry Wallace","Diamond Ring","True",NULL,NULL,NULL,NULL,NULL,NULL
11,965,1958,"f223e950cb3ee66fd6717d7306d24f7c14f1ea2c","Jerry Wallace","How The Time Flies","True",0,"male",5,"Country",0,8157001
81,39,1958,NULL,"Jesse Belvin","Funny","False",NULL,NULL,NULL,NULL,NULL,NULL
96,6,1958,NULL,"Jill Corey","Big Daddy","True",NULL,NULL,NULL,NULL,NULL,NULL
66,57,1958,NULL,"Jim Backus & Friend","Delicious!","True",0,"duet",4,"Pop",6,1630391
95,6,1958,"53c9baec15d588937417efb94c7eec86462b6a4b","Jim Reeves","Billy Bayou","True",0,"male",4,"Pop",0,48239
45,165,1958,"80d3e13c406f8251e5bee84366353b09f630dfff","Jim Reeves","Blue Boy","True",0,"male",3,"Country",2,505855
10,861,1958,"4cf37e696207baf0a8ac3c555fb1f1e778edc77b","Jimmie Rodgers","Are You Really Mine","True",0,"male",6,"Pop",0,6957344
11,1096,1958,"940012bad8c151042626c63bb40efe6af5bd5aa3","Jimmie Rodgers","Bimbombey","True",0,"male",6,"Pop",0,6957365
28,157,1958,"0a021e7f06efec2047ab3fca06820c73adc9a240","Jimmie Rodgers","Secretly","True",2,"male",7,"Pop",0,6957367
45,308,1958,"5c053cbdad08a220a2ba62cc1bff28ad2c513278","Jimmie Rodgers","The Wizard","True",0,"male",5,"Pop",0,6957347
50,293,1958,NULL,"Jimmy Bowen with the Rhythm Orchids","By The Light Of The Silvery Moon","False",NULL,NULL,NULL,NULL,NULL,NULL
4,1238,1958,"1e99e6c9227ec481866d520248b728c2bbc4e4cf","Jimmy Clanton And His Rockets","Just A Dream","False",0,"male",5,"R&B",5,1603216
25,672,1958,NULL,"Jimmy Clanton","A Letter To An Angel","True",NULL,NULL,NULL,NULL,NULL,NULL
38,291,1958,NULL,"Jimmy Clanton","A Part Of Me","False",NULL,NULL,NULL,NULL,NULL,NULL
93,13,1958,"73016e1f827bf1be50884cb9e3d1fac86225a4a4","Jimmy Reed","Down In Virginia","True",0,"male",5,"R&B",0,11654193
95,6,1958,NULL,"Jodie Sands","Someday (You'll Want Me To Want You)","True",NULL,NULL,NULL,NULL,NULL,NULL
17,277,1958,"438542c158e840f7d83c5da38897615e7ac3b4d1","Jody Reynolds","Endless Sleep","True",0,"male",4,"Pop",0,5127073
66,83,1958,"67ccbb1053d51b174cb22f453be6e40ab3475fac","Jody Reynolds","Fire Of Love","False",0,"male",4,"Pop",0,5127073
89,22,1958,"e1ce45dbbde0052105dda5251e637e0cb7df1f63","Joe South","The Purple People Eater Meets The Witch Doctor","True",NULL,NULL,NULL,NULL,NULL,NULL
81,29,1958,NULL,"Johnnie Ray","Up Until Now","True",NULL,NULL,NULL,NULL,NULL,NULL
87,14,1958,"5f186ccec3fb28e008c702c36fde2c350471930c","Johnny Cash And The Tennessee Two","Come In Stranger","True",0,"male",6,"Country",0,7028124
21,368,1958,"60d7cd6177f976145d930c13a194c15c58a3878f","Johnny Cash And The Tennessee Two","Guess Things Happen That Way","True",0,"male",3,"Pop",0,7028119
85,16,1958,"7f4e05680b02ddedea2abc37abde1c1ee05d598e","Johnny Cash And The Tennessee Two","I Just Thought You'd Like To Know","True",0,"male",4,"Country",0,9032530
47,275,1958,"e6960eb412b490a86a637f7c5bc4297c01151a90","Johnny Cash And The Tennessee Two","It's Just About Time","True",0,"male",4,"Country",3,9041001
24,461,1958,"5c1ad5ad37631709129b5db57404fc97ba7539a8","Johnny Cash And The Tennessee Two","The Ways Of A Woman In Love","True",0,"male",3,"Country",2,9032525
38,404,1958,"eb463e4c7a9fceccfdb8d7bec63462258b5bb498","Johnny Cash","All Over Again","True",0,"male",5,"Country",2,142662
52,253,1958,"2cd96ef0740d6ef62aeba81dd43d26b4028dcf42","Johnny Cash","What Do I Care","True",0,"male",3,"Country",0,7155782
22,523,1958,"2de7f0013b58460bc1cf7f368f523cc948360c59","Johnny Mathis","A Certain Smile","True",2,"male",5,"Pop",0,7266799
21,883,1958,"2602613ab30d003109f4744109078d97cbfd66c6","Johnny Mathis","Call Me","True",NULL,NULL,NULL,NULL,NULL,NULL
78,44,1958,NULL,"Johnny Nash","Almost In Your Arms","False",0,"male",8,"Pop",0,5840375
87,31,1958,NULL,"Johnny Otis","Crazy Country Hop","True",0,"male",6,"Pop",0,672799
35,665,1958,"f9490804c3270ccc327c6019332bcb9e61c0c390","Johnny Tillotson","Dreamy Eyes","True",NULL,NULL,NULL,NULL,NULL,NULL
87,17,1958,"05499cf999fbcb6d59dd8231b5a1728fab32a113","Johnny Tillotson","Well I'm Your Man","True",NULL,NULL,NULL,NULL,NULL,NULL
19,880,1958,"460e8ecc9da9597719587e74753f729ba8442503","Joni James","There Goes My Heart","True",0,"female",7,"Pop",0,11654616
43,485,1958,NULL,"June Valli","The Wedding","False",NULL,NULL,NULL,NULL,NULL,NULL
12,851,1958,NULL,"Kalin Twins","Forget Me Not","True",NULL,NULL,NULL,NULL,NULL,NULL
5,663,1958,"fe36ca4f8a4d4544b7963dd8f7c76f1a41fdcaa7","Kalin Twins","When","True",0,"duet",6,"Pop",0,11969786
83,32,1958,NULL,"Kitty Wells","Jealousy","True",0,"female",5,"Country",0,13540622
6,1434,1958,"50a9e25f25566ef8a70d54fc9599d17ed8850de2","LaVern Baker","I Cried A Tear","True",0,"female",6,"Rock",0,312293
92,9,1958,"462c50c555b4b4acf8169d8950bda824595fb669","Lee Allen And His Band","Tic Toc","True",0,"#N/A",0,"Rock",0,456810
70,49,1958,"c50c5efccc1e93e0340eaa39bc2d427cc097f8c3","Lee Andrews And The Hearts","Try The Impossible","True",NULL,NULL,NULL,NULL,NULL,NULL
32,478,1958,NULL,"Les Paul And Mary Ford","Put A Ring On My Finger","True",NULL,NULL,NULL,NULL,NULL,NULL
87,18,1958,"782c0fb1a9ab93872bd124037f7041c39c68ec02","Little Anthony And The Imperials","So Much","True",NULL,NULL,NULL,NULL,NULL,NULL
4,1383,1958,"b801db82a1a613be33af6556f8ed3a895a375341","Little Anthony And The Imperials","Tears On My Pillow","True",0,"male",8,"Pop",0,5522360
41,407,1958,"d0912370cedde77acbc89ecc69a9587fd776d052","Little Richard","Baby Face","True",3,"male",7,"R&B",0,6341519
66,65,1958,"49e5de4d81ba6233cdb00cc59f7806dd4d0d7363","Little Willie John","You're A Sweetheart","True",0,"male",7,"R&B",0,7550461
1,1514,1958,"ddd36f5afb4d4f76c2f0e3984dba024dc822e8dd","Lloyd Price","Stagger Lee","True",0,"male",7,"Rock",2,9026976
96,5,1958,"04474ea6dabe21328b2e427e5feaac097ae1a182","Lord Rockingham's XI","Fried Onions","True",0,"#N/A",0,"Pop",0,10711561
18,711,1958,"a4c3c736bc6fcfe02dfeb68c8b4113c11bae860e","Louis Prima And Keely Smith","That Old Black Magic","True",NULL,NULL,NULL,NULL,NULL,NULL
76,25,1958,"8c1778235cee0a4c2a2dc4d4c28fb29a1e27f47d","Marty Robbins","Just Married","True",0,"male",5,"Country",0,6545747
27,602,1958,NULL,"Marty Robbins","She Was Only Seventeen (He Was One Year More)","True",0,"male",4,"Country",0,7224240
93,8,1958,NULL,"Mike Preston","A House, A Car And A Wedding Ring","True",0,"male",4,"Pop",0,696838
94,7,1958,NULL,"Mitch Miller and his Orchestra and Chorus","Bluebell","False",NULL,NULL,NULL,NULL,NULL,NULL
89,18,1958,NULL,"Nappy Brown","It Don't Hurt No More","True",NULL,NULL,NULL,NULL,NULL,NULL
41,444,1958,NULL,"Nat King Cole","Come Closer To Me (Acercate Mas)","True",NULL,NULL,NULL,NULL,NULL,NULL
81,20,1958,"77b05b7718ec16687a8271a24d546ad4989e338e","Nat King Cole","Looking Back","True",NULL,NULL,NULL,NULL,NULL,NULL
